AGENCY,UPLOADED ON,VALUE
Department of State,2/26/2025,800000
Department of State,2/26/2025,800000
Department of State,2/26/2025,800000
Department of State,2/26/2025,800000
Department of State,2/26/2025,800000
Department of State,2/26/2025,1000000
Department of State,2/26/2025,800000
Department of State,2/26/2025,799999
Department of State,2/26/2025,799976
Department of State,2/26/2025,799959
Department of State,2/26/2025,799855
Department of State,2/26/2025,799614
Department of State,2/26/2025,794620
Department of State,2/26/2025,790120
Department of State,2/26/2025,789343
Department of State,2/26/2025,789177
Department of State,2/26/2025,785053
Department of State,2/26/2025,784825
Department of State,2/26/2025,776919
Department of State,2/26/2025,771441
Department of State,2/26/2025,765000
Department of State,2/26/2025,761665
Department of State,2/26/2025,759067
Department of State,2/26/2025,756000
Department of State,2/26/2025,754951
Department of State,2/26/2025,754480
Department of State,2/26/2025,8000000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,1000000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,750000
Department of State,2/26/2025,749996
Department of State,2/26/2025,749932
Department of State,2/26/2025,749918
Department of State,2/26/2025,749890
Department of State,2/26/2025,749358
Department of State,2/26/2025,748374
Department of State,2/26/2025,747583
Department of State,2/26/2025,741887
Department of State,2/26/2025,741300
Department of State,2/26/2025,740740
Department of State,2/26/2025,740740
Department of State,2/26/2025,740740
Department of State,2/26/2025,740740
Department of State,2/26/2025,740740
Department of State,2/26/2025,740740
Department of State,2/26/2025,740740
Department of State,2/26/2025,740644
Department of State,2/26/2025,740335
Department of State,2/26/2025,740009
Department of State,2/26/2025,740000
Department of State,2/26/2025,728804
Department of State,2/26/2025,725000
Department of State,2/26/2025,723389
Department of State,2/26/2025,714853
Department of State,2/26/2025,714237
Department of State,2/26/2025,712803
Department of State,2/26/2025,709450
Department of State,2/26/2025,709140
Department of State,2/26/2025,707832
Department of State,2/26/2025,707000
Department of State,2/26/2025,703645
Department of State,2/26/2025,702308
Department of State,2/26/2025,700000
Department of State,2/26/2025,700000
Department of State,2/26/2025,700000
Department of State,2/26/2025,700000
Department of State,2/26/2025,700000
Department of State,2/26/2025,695018
Department of State,2/26/2025,692295
Department of State,2/26/2025,691250
Department of State,2/26/2025,690009
Department of State,2/26/2025,677726
Department of State,2/26/2025,676384
Department of State,2/26/2025,674000
Department of State,2/26/2025,670547
Department of State,2/26/2025,670000
Department of State,2/26/2025,666969
Department of State,2/26/2025,664930
Department of State,2/26/2025,663704
Department of State,2/26/2025,663266
Department of State,2/26/2025,659961
Department of State,2/26/2025,659486
Department of State,2/26/2025,659032
Department of State,2/26/2025,657665
Department of State,2/26/2025,652675
Department of State,2/26/2025,651477
Department of State,2/26/2025,650000
Department of State,2/26/2025,649993
Department of State,2/26/2025,649216
Department of State,2/26/2025,648342
Department of State,2/26/2025,645033
Department of State,2/26/2025,644037
Department of State,2/26/2025,642710
Department of State,2/26/2025,641975
Department of State,2/26/2025,641745
Department of State,2/26/2025,640600
Department of State,2/26/2025,635928
Department of State,2/26/2025,635365
Department of State,2/26/2025,626218
Department of State,2/26/2025,625000
Department of State,2/26/2025,620000
Department of State,2/26/2025,618928
Department of State,2/26/2025,612233
Department of State,2/26/2025,3917825
Department of State,2/26/2025,604273
Department of State,2/26/2025,600000
Department of State,2/26/2025,600000
Department of State,2/26/2025,600000
Department of State,2/26/2025,600000
Department of State,2/26/2025,600000
Department of State,2/26/2025,600000
Department of State,2/26/2025,600000
Department of State,2/26/2025,600000
Department of State,2/26/2025,600000
Department of State,2/26/2025,600000
Department of State,2/26/2025,600000
Department of State,2/26/2025,599827
Department of State,2/26/2025,594550
Department of State,2/26/2025,592500
Department of State,2/26/2025,585438
Department of State,2/26/2025,585438
Department of State,2/26/2025,583000
Department of State,2/26/2025,583000
Department of State,2/26/2025,581300
Department of State,2/26/2025,575160
Department of State,2/26/2025,574564
Department of State,2/26/2025,574562
Department of State,2/26/2025,573783
Department of State,2/26/2025,1000000
Department of State,2/26/2025,565915
Department of State,2/26/2025,562731
Department of State,2/26/2025,562125
Department of State,2/26/2025,561194
Department of State,2/26/2025,560628
Department of State,2/26/2025,560000
Department of State,2/26/2025,558008
Department of State,2/26/2025,553413
Department of State,2/26/2025,552114
Department of State,2/26/2025,550750
Department of State,2/26/2025,550000
Department of State,2/26/2025,549160
Department of State,2/26/2025,549069
Department of State,2/26/2025,546660
Department of State,2/26/2025,543086
Department of State,2/26/2025,541983
Department of State,2/26/2025,540000
Department of State,2/26/2025,30021
Department of State,2/26/2025,530000
Department of State,2/26/2025,526176
Department of State,2/26/2025,525000
Department of State,2/26/2025,525000
Department of State,2/26/2025,524990
Department of State,2/26/2025,522089
Department of State,2/26/2025,522082
Department of State,2/26/2025,520255
Department of State,2/26/2025,518997
Department of State,2/26/2025,513065
Department of State,2/26/2025,512635
Department of State,2/26/2025,511557
Department of State,2/26/2025,510610
Department of State,2/26/2025,510070
Department of State,2/26/2025,507904
Department of State,2/26/2025,507904
Department of State,2/26/2025,506250
Department of State,2/26/2025,505306
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,500000
Department of State,2/26/2025,499970
Department of State,2/26/2025,499938
Department of State,2/26/2025,499927
Department of State,2/26/2025,499923
Department of State,2/26/2025,499851
Department of State,2/26/2025,499765
Department of State,2/26/2025,499713
Department of State,2/26/2025,499680
Department of State,2/26/2025,499663
Department of State,2/26/2025,499651
Department of State,2/26/2025,499396
Department of State,2/26/2025,499390
Department of State,2/26/2025,499043
Department of State,2/26/2025,498788
Department of State,2/26/2025,498271
Department of State,2/26/2025,496478
Department of State,2/26/2025,496007
Department of State,2/26/2025,495985
Department of State,2/26/2025,495401
Department of State,2/26/2025,493827
Department of State,2/26/2025,493827
Department of State,2/26/2025,493827
Department of State,2/26/2025,493827
Department of State,2/26/2025,25000
Department of State,2/26/2025,493827
Department of State,2/26/2025,493827
Department of State,2/26/2025,493339
Department of State,2/26/2025,1000000
Department of State,2/26/2025,492132
Department of State,2/26/2025,491850
Department of State,2/26/2025,490712
Department of State,2/26/2025,490000
Department of State,2/26/2025,480994
Department of State,2/26/2025,480000
Department of State,2/26/2025,479774
Department of State,2/26/2025,478960
Department of State,2/26/2025,478290
Department of State,2/26/2025,477991
Department of State,2/26/2025,475980
Department of State,2/26/2025,475000
Department of State,2/26/2025,475000
Department of State,2/26/2025,473850
Department of State,2/26/2025,471352
Department of State,2/26/2025,470177
Department of State,2/26/2025,469611
Department of State,2/26/2025,464492
Department of State,2/26/2025,463450
Department of State,2/26/2025,463300
Department of State,2/26/2025,459982
Department of State,2/26/2025,459259
Department of State,2/26/2025,458365
Department of State,2/26/2025,450682
Department of State,2/26/2025,450000
Department of State,2/26/2025,450000
Department of State,2/26/2025,450000
Department of State,2/26/2025,449981
Department of State,2/26/2025,449027
Department of State,2/26/2025,1000000
Department of State,2/26/2025,445182
Department of State,2/26/2025,444334
Department of State,2/26/2025,444005
Department of State,2/26/2025,441462
Department of State,2/26/2025,440824
Department of State,2/26/2025,440440
Department of State,2/26/2025,439560
Department of State,2/26/2025,435575
Department of State,2/26/2025,435224
Department of State,2/26/2025,435180
Department of State,2/26/2025,434098
Department of State,2/26/2025,432995
Department of State,2/26/2025,430537
Department of State,2/26/2025,429250
Department of State,2/26/2025,428437
Department of State,2/26/2025,428134
Department of State,2/26/2025,428000
Department of State,2/26/2025,427021
Department of State,2/26/2025,426757
Department of State,2/26/2025,425000
Department of State,2/26/2025,425000
Department of State,2/26/2025,420000
Department of State,2/26/2025,419802
Department of State,2/26/2025,416854
Department of State,2/26/2025,415093
Department of State,2/26/2025,414750
Department of State,2/26/2025,413558
Department of State,2/26/2025,410778
Department of State,2/26/2025,409794
Department of State,2/26/2025,408610
Department of State,2/26/2025,408451
Department of State,2/26/2025,405000
Department of State,2/26/2025,400175
Department of State,2/26/2025,400000
Department of State,2/26/2025,400000
Department of State,2/26/2025,400000
Department of State,2/26/2025,400000
Department of State,2/26/2025,400000
Department of State,2/26/2025,400000
Department of State,2/26/2025,400000
Department of State,2/26/2025,400000
Department of State,2/26/2025,400000
Department of State,2/26/2025,400000
Department of State,2/26/2025,400000
Department of State,2/26/2025,400000
Department of State,2/26/2025,400000
Department of State,2/26/2025,399995
Department of State,2/26/2025,399975
Department of State,2/26/2025,399867
Department of State,2/26/2025,399203
Department of State,2/26/2025,398803
Department of State,2/26/2025,398765
Department of State,2/26/2025,397200
Department of State,2/26/2025,396123
Department of State,2/26/2025,394671
Department of State,2/26/2025,394220
Department of State,2/26/2025,392941
Department of State,2/26/2025,390000
Department of State,2/26/2025,387309
Department of State,2/26/2025,384900
Department of State,2/26/2025,382000
Department of State,2/26/2025,381954
Department of State,2/26/2025,377000
Department of State,2/26/2025,376622
Department of State,2/26/2025,375000
Department of State,2/26/2025,371196
Department of State,2/26/2025,370322
Department of State,2/26/2025,370000
Department of State,2/26/2025,17700
Department of State,2/26/2025,362468
Department of State,2/26/2025,359926
Department of State,2/26/2025,358840
Department of State,2/26/2025,353880
Department of State,2/26/2025,25000
Department of State,2/26/2025,352494
Department of State,2/26/2025,351592
Department of State,2/26/2025,350241
Department of State,2/26/2025,350000
Department of State,2/26/2025,350000
Department of State,2/26/2025,350000
Department of State,2/26/2025,350000
Department of State,2/26/2025,350000
Department of State,2/26/2025,350000
Department of State,2/26/2025,350000
Department of State,2/26/2025,350000
Department of State,2/26/2025,350000
Department of State,2/26/2025,350000
Department of State,2/26/2025,348987
Department of State,2/26/2025,348040
Department of State,2/26/2025,343750
Department of State,2/26/2025,340541
Department of State,2/26/2025,340308
Department of State,2/26/2025,332349
Department of State,2/26/2025,330097
Department of State,2/26/2025,330000
Department of State,2/26/2025,330000
Department of State,2/26/2025,329951
Department of State,2/26/2025,324954
Department of State,2/26/2025,320000
Department of State,2/26/2025,317386
Department of State,2/26/2025,316000
Department of State,2/26/2025,315000
Department of State,2/26/2025,315000
Department of State,2/26/2025,311748
Department of State,2/26/2025,308881
Department of State,2/26/2025,308005
Department of State,2/26/2025,308000
Department of State,2/26/2025,308000
Department of State,2/26/2025,307446
Department of State,2/26/2025,306561
Department of State,2/26/2025,303050
Department of State,2/26/2025,301278
Department of State,2/26/2025,300704
Department of State,2/26/2025,300003
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,300000
Department of State,2/26/2025,299998
Department of State,2/26/2025,299996
Department of State,2/26/2025,299995
Department of State,2/26/2025,299995
Department of State,2/26/2025,298499
Department of State,2/26/2025,298160
Department of State,2/26/2025,296284
Department of State,2/26/2025,295112
Department of State,2/26/2025,293360
Department of State,2/26/2025,290700
Department of State,2/26/2025,290000
Department of State,2/26/2025,289887
Department of State,2/26/2025,288854
Department of State,2/26/2025,288546
Department of State,2/26/2025,287779
Department of State,2/26/2025,285888
Department of State,2/26/2025,285046
Department of State,2/26/2025,285000
Department of State,2/26/2025,279725
Department of State,2/26/2025,278918
Department of State,2/26/2025,276325
Department of State,2/26/2025,276038
Department of State,2/26/2025,275000
Department of State,2/26/2025,275000
Department of State,2/26/2025,272321
Department of State,2/26/2025,266996
Department of State,2/26/2025,266970
Department of State,2/26/2025,265000
Department of State,2/26/2025,262979
Department of State,2/26/2025,260870
Department of State,2/26/2025,260000
Department of State,2/26/2025,260000
Department of State,2/26/2025,259996
Department of State,2/26/2025,259864
Department of State,2/26/2025,258966
Department of State,2/26/2025,258866
Department of State,2/26/2025,255574
Department of State,2/26/2025,254300
Department of State,2/26/2025,253000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,21270
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,199099
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,250000
Department of State,2/26/2025,249999
Department of State,2/26/2025,249999
Department of State,2/26/2025,249999
Department of State,2/26/2025,249997
Department of State,2/26/2025,249986
Department of State,2/26/2025,249964
Department of State,2/26/2025,249960
Department of State,2/26/2025,249940
Department of State,2/26/2025,249925
Department of State,2/26/2025,249912
Department of State,2/26/2025,249903
Department of State,2/26/2025,249887
Department of State,2/26/2025,249866
Department of State,2/26/2025,249834
Department of State,2/26/2025,249807
Department of State,2/26/2025,249780
Department of State,2/26/2025,249488
Department of State,2/26/2025,249470
Department of State,2/26/2025,249259
Department of State,2/26/2025,249047
Department of State,2/26/2025,249000
Department of State,2/26/2025,249000
Department of State,2/26/2025,248640
Department of State,2/26/2025,248391
Department of State,2/26/2025,248022
Department of State,2/26/2025,247982
Department of State,2/26/2025,247966
Department of State,2/26/2025,247000
Department of State,2/26/2025,246921
Department of State,2/26/2025,246750
Department of State,2/26/2025,246577
Department of State,2/26/2025,246295
Department of State,2/26/2025,246030
Department of State,2/26/2025,245000
Department of State,2/26/2025,244798
Department of State,2/26/2025,244182
Department of State,2/26/2025,243066
Department of State,2/26/2025,242437
Department of State,2/26/2025,241542
Department of State,2/26/2025,240000
Department of State,2/26/2025,240000
Department of State,2/26/2025,240000
Department of State,2/26/2025,238970
Department of State,2/26/2025,238100
Department of State,2/26/2025,236123
Department of State,2/26/2025,4190346
Department of State,2/26/2025,235200
Department of State,2/26/2025,232000
Department of State,2/26/2025,232000
Department of State,2/26/2025,230000
Department of State,2/26/2025,230000
Department of State,2/26/2025,229389
Department of State,2/26/2025,226252
Department of State,2/26/2025,225460
Department of State,2/26/2025,225000
Department of State,2/26/2025,225000
Department of State,2/26/2025,225000
Department of State,2/26/2025,224610
Department of State,2/26/2025,250000
Department of State,2/26/2025,223000
Department of State,2/26/2025,222187
Department of State,2/26/2025,220809
Department of State,2/26/2025,220000
Department of State,2/26/2025,220000
Department of State,2/26/2025,216750
Department of State,2/26/2025,216540
Department of State,2/26/2025,215518
Department of State,2/26/2025,215000
Department of State,2/26/2025,214246
Department of State,2/26/2025,212500
Department of State,2/26/2025,210000
Department of State,2/26/2025,210000
Department of State,2/26/2025,209650
Department of State,2/26/2025,208760
Department of State,2/26/2025,206080
Department of State,2/26/2025,205908
Department of State,2/26/2025,205000
Department of State,2/26/2025,205000
Department of State,2/26/2025,204487
Department of State,2/26/2025,204120
Department of State,2/26/2025,202754
Department of State,2/26/2025,202530
Department of State,2/26/2025,202250
Department of State,2/26/2025,202000
Department of State,2/26/2025,201774
Department of State,2/26/2025,201012
Department of State,2/26/2025,200561
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,175000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,200000
Department of State,2/26/2025,199999
Department of State,2/26/2025,1000000
Department of State,2/26/2025,199994
Department of State,2/26/2025,199848
Department of State,2/26/2025,199826
Department of State,2/26/2025,199100
Department of State,2/26/2025,199000
Department of State,2/26/2025,198052
Department of State,2/26/2025,197761
Department of State,2/26/2025,195781
Department of State,2/26/2025,194759
Department of State,2/26/2025,192115
Department of State,2/26/2025,190738
Department of State,2/26/2025,190123
Department of State,2/26/2025,190120
Department of State,2/26/2025,190000
Department of State,2/26/2025,190000
Department of State,2/26/2025,189805
Department of State,2/26/2025,188660
Department of State,2/26/2025,188055
Department of State,2/26/2025,188000
Department of State,2/26/2025,187107
Department of State,2/26/2025,185938
Department of State,2/26/2025,185000
Department of State,2/26/2025,184276
Department of State,2/26/2025,181000
Department of State,2/26/2025,180400
Department of State,2/26/2025,180116
Department of State,2/26/2025,180000
Department of State,2/26/2025,176991
Department of State,2/26/2025,176651
Department of State,2/26/2025,176268
Department of State,2/26/2025,176074
Department of State,2/26/2025,175010
Department of State,2/26/2025,175000
Department of State,2/26/2025,175000
Department of State,2/26/2025,175000
Department of State,2/26/2025,174681
Department of State,2/26/2025,173004
Department of State,2/26/2025,172944
Department of State,2/26/2025,172192
Department of State,2/26/2025,171070
Department of State,2/26/2025,169961
Department of State,2/26/2025,169961
Department of State,2/26/2025,169100
Department of State,2/26/2025,168341
Department of State,2/26/2025,168085
Department of State,2/26/2025,167410
Department of State,2/26/2025,166834
Department of State,2/26/2025,166730
Department of State,2/26/2025,165157
Department of State,2/26/2025,165053
Department of State,2/26/2025,164950
Department of State,2/26/2025,163290
Department of State,2/26/2025,162813
Department of State,2/26/2025,162131
Department of State,2/26/2025,161847
Department of State,2/26/2025,161400
Department of State,2/26/2025,161153
Department of State,2/26/2025,160000
Department of State,2/26/2025,159376
Department of State,2/26/2025,914000
Department of State,2/26/2025,158255
Department of State,2/26/2025,157499
Department of State,2/26/2025,157499
Department of State,2/26/2025,156955
Department of State,2/26/2025,156544
Department of State,2/26/2025,156250
Department of State,2/26/2025,154130
Department of State,2/26/2025,152590
Department of State,2/26/2025,152500
Department of State,2/26/2025,152012
Department of State,2/26/2025,151795
Department of State,2/26/2025,150453
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,78526
Department of State,2/26/2025,25000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,814000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,150000
Department of State,2/26/2025,149998
Department of State,2/26/2025,149998
Department of State,2/26/2025,149996
Department of State,2/26/2025,149970
Department of State,2/26/2025,149968
Department of State,2/26/2025,149903
Department of State,2/26/2025,149653
Department of State,2/26/2025,149644
Department of State,2/26/2025,149303
Department of State,2/26/2025,149189
Department of State,2/26/2025,148428
Department of State,2/26/2025,147394
Department of State,2/26/2025,145958
Department of State,2/26/2025,144767
Department of State,2/26/2025,143616
Department of State,2/26/2025,141108
Department of State,2/26/2025,140790
Department of State,2/26/2025,140000
Department of State,2/26/2025,140000
Department of State,2/26/2025,139997
Department of State,2/26/2025,139650
Department of State,2/26/2025,138667
Department of State,2/26/2025,138515
Department of State,2/26/2025,138400
Department of State,2/26/2025,136296
Department of State,2/26/2025,135000
Department of State,2/26/2025,134508
Department of State,2/26/2025,134340
Department of State,2/26/2025,133576
Department of State,2/26/2025,133540
Department of State,2/26/2025,132500
Department of State,2/26/2025,132380
Department of State,2/26/2025,131500
Department of State,2/26/2025,130804
Department of State,2/26/2025,130192
Department of State,2/26/2025,130000
Department of State,2/26/2025,129925
Department of State,2/26/2025,128483
Department of State,2/26/2025,128060
Department of State,2/26/2025,127294
Department of State,2/26/2025,127152
Department of State,2/26/2025,126500
Department of State,2/26/2025,126286
Department of State,2/26/2025,126000
Department of State,2/26/2025,125125
Department of State,2/26/2025,125050
Department of State,2/26/2025,125000
Department of State,2/26/2025,125000
Department of State,2/26/2025,125000
Department of State,2/26/2025,125000
Department of State,2/26/2025,125000
Department of State,2/26/2025,125000
Department of State,2/26/2025,125000
Department of State,2/26/2025,125000
Department of State,2/26/2025,124978
Department of State,2/26/2025,124806
Department of State,2/26/2025,124575
Department of State,2/26/2025,124000
Department of State,2/26/2025,123980
Department of State,2/26/2025,123450
Department of State,2/26/2025,122842
Department of State,2/26/2025,122700
Department of State,2/26/2025,987654
Department of State,2/26/2025,121125
Department of State,2/26/2025,121114
Department of State,2/26/2025,120716
Department of State,2/26/2025,120250
Department of State,2/26/2025,120000
Department of State,2/26/2025,119999
Department of State,2/26/2025,119460
Department of State,2/26/2025,118871
Department of State,2/26/2025,117500
Department of State,2/26/2025,116518
Department of State,2/26/2025,113831
Department of State,2/26/2025,112863
Department of State,2/26/2025,111900
Department of State,2/26/2025,111843
Department of State,2/26/2025,110870
Department of State,2/26/2025,110000
Department of State,2/26/2025,110000
Department of State,2/26/2025,750000
Department of State,2/26/2025,107032
Department of State,2/26/2025,106000
Department of State,2/26/2025,105139
Department of State,2/26/2025,105035
Department of State,2/26/2025,105000
Department of State,2/26/2025,104993
Department of State,2/26/2025,103553
Department of State,2/26/2025,102934
Department of State,2/26/2025,101491
Department of State,2/26/2025,101188
Department of State,2/26/2025,100931
Department of State,2/26/2025,100820
Department of State,2/26/2025,100710
Department of State,2/26/2025,100309
Department of State,2/26/2025,100245
Department of State,2/26/2025,100185
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,1546296
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,567901
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,100000
Department of State,2/26/2025,99997
Department of State,2/26/2025,99996
Department of State,2/26/2025,99990
Department of State,2/26/2025,99984
Department of State,2/26/2025,99978
Department of State,2/26/2025,99964
Department of State,2/26/2025,99964
Department of State,2/26/2025,99934
Department of State,2/26/2025,99924
Department of State,2/26/2025,99788
Department of State,2/26/2025,99787
Department of State,2/26/2025,99764
Department of State,2/26/2025,99505
Department of State,2/26/2025,99500
Department of State,2/26/2025,99500
Department of State,2/26/2025,99445
Department of State,2/26/2025,99151
Department of State,2/26/2025,99000
Department of State,2/26/2025,98700
Department of State,2/26/2025,98670
Department of State,2/26/2025,98500
Department of State,2/26/2025,98000
Department of State,2/26/2025,97200
Department of State,2/26/2025,97007
Department of State,2/26/2025,96460
Department of State,2/26/2025,95060
Department of State,2/26/2025,95060
Department of State,2/26/2025,95000
Department of State,2/26/2025,95000
Department of State,2/26/2025,95000
Department of State,2/26/2025,95000
Department of State,2/26/2025,94909
Department of State,2/26/2025,94664
Department of State,2/26/2025,94357
Department of State,2/26/2025,94000
Department of State,2/26/2025,94000
Department of State,2/26/2025,93907
Department of State,2/26/2025,93333
Department of State,2/26/2025,93000
Department of State,2/26/2025,92544
Department of State,2/26/2025,91397
Department of State,2/26/2025,1956000
Department of State,2/26/2025,91100
Department of State,2/26/2025,91000
Department of State,2/26/2025,90909
Department of State,2/26/2025,90000
Department of State,2/26/2025,90000
Department of State,2/26/2025,90000
Department of State,2/26/2025,90000
Department of State,2/26/2025,90000
Department of State,2/26/2025,90000
Department of State,2/26/2025,90000
Department of State,2/26/2025,89895
Department of State,2/26/2025,89804
Department of State,2/26/2025,89712
Department of State,2/26/2025,89412
Department of State,2/26/2025,89000
Department of State,2/26/2025,87598
Department of State,2/26/2025,87360
Department of State,2/26/2025,87215
Department of State,2/26/2025,87000
Department of State,2/26/2025,86994
Department of State,2/26/2025,86818
Department of State,2/26/2025,86730
Department of State,2/26/2025,86698
Department of State,2/26/2025,86482
Department of State,2/26/2025,86119
Department of State,2/26/2025,85439
Department of State,2/26/2025,43420
Department of State,2/26/2025,85100
Department of State,2/26/2025,85023
Department of State,2/26/2025,85000
Department of State,2/26/2025,85000
Department of State,2/26/2025,85000
Department of State,2/26/2025,84333
Department of State,2/26/2025,83705
Department of State,2/26/2025,83705
Department of State,2/26/2025,83497
Department of State,2/26/2025,82566
Department of State,2/26/2025,82540
Department of State,2/26/2025,82500
Department of State,2/26/2025,81900
Department of State,2/26/2025,81645
Department of State,2/26/2025,81645
Department of State,2/26/2025,81363
Department of State,2/26/2025,81300
Department of State,2/26/2025,446776
Department of State,2/26/2025,80000
Department of State,2/26/2025,80000
Department of State,2/26/2025,400000
Department of State,2/26/2025,80000
Department of State,2/26/2025,80000
Department of State,2/26/2025,80000
Department of State,2/26/2025,80000
Department of State,2/26/2025,36742
Department of State,2/26/2025,80000
Department of State,2/26/2025,79955
Department of State,2/26/2025,79673
Department of State,2/26/2025,79630
Department of State,2/26/2025,78880
Department of State,2/26/2025,78050
