AGENCY,UPLOADED ON,VALUE
Department Of Education,2/12/2025,3524401
Department Of Education,2/12/2025,1849011
Department Of Education,2/12/2025,4073691
Department Of Education,2/12/2025,1797750
Department Of Education,2/12/2025,3844820
Department Of Education,2/12/2025,8044648
Department Of Education,2/12/2025,3499999
Department Of Education,2/12/2025,4719035
Department Of Education,2/12/2025,5898695
Department Of Education,2/12/2025,7487510
Department Of Education,2/12/2025,631843
Department Of Education,2/12/2025,3791664
Department Of Education,2/12/2025,1184430
Department Of Education,2/12/2025,7469325
Department Of Education,2/12/2025,9306229
Department Of Education,2/12/2025,5747655
Department Of Education,2/12/2025,7975521
Department Of Education,2/12/2025,2361400
Department Of Education,2/12/2025,9056449
Department Of Education,2/12/2025,2158238
Department Of Education,2/12/2025,8502340
Department Of Education,2/12/2025,4676106
Department Of Education,2/12/2025,4237200
Department Of Education,2/12/2025,9258547
Department Of Education,2/12/2025,7988347
Department Of Education,2/12/2025,5153884
Department Of Education,2/12/2025,8017306
Department Of Education,2/12/2025,3380649
Department Of Education,2/12/2025,8407872
Department Of Education,2/12/2025,9913020
Department Of Education,2/12/2025,3067134
Department Of Education,2/12/2025,8510029
Department Of Education,2/13/2025,8218498
Department Of Education,2/13/2025,8226640
Department Of Education,2/13/2025,8294184
Department Of Education,2/13/2025,8107355
Department Of Education,2/18/2025,11396794
Department Of Education,2/18/2025,14126498
Department Of Education,2/18/2025,12144894
Department Of Education,2/18/2025,17763689
Department Of Education,2/18/2025,9022106
Department Of Education,2/18/2025,3610469
Department Of Education,2/18/2025,21275095
Department Of Education,2/18/2025,10270782
Department Of Education,2/18/2025,5715777
Department Of Education,2/18/2025,1763513
Department Of Education,2/18/2025,939768
Department Of Education,2/18/2025,6535968
Department Of Education,2/18/2025,12519835
Department Of Education,2/18/2025,6319419
Department Of Education,2/18/2025,7750850
Department Of Education,2/18/2025,8563751
Department Of Education,2/18/2025,6879974
Department Of Education,2/18/2025,10927183
Department Of Education,2/18/2025,7243753
Department Of Education,2/18/2025,17239813
Department Of Education,2/18/2025,1148881
Department Of Education,2/18/2025,11406253
Department Of Education,2/18/2025,6556437
Department Of Education,2/18/2025,5384154
Department Of Education,2/18/2025,13056227
Department Of Education,2/18/2025,2446069
Department Of Education,2/18/2025,13507563
Department Of Education,2/18/2025,7750000
Department Of Education,2/18/2025,9021560
Department Of Education,2/18/2025,25198845
Department Of Education,2/18/2025,22437090
Department Of Education,2/18/2025,30000000
Department Of Education,2/18/2025,5749996
Department Of Education,2/18/2025,12253440
Department Of Education,2/18/2025,6250000
Department Of Education,2/18/2025,6250000
Department Of Education,2/18/2025,11897855
Department Of Education,2/18/2025,6250000
Department Of Education,2/18/2025,23044104
Department Of Education,2/18/2025,9656886
Department Of Education,2/18/2025,11901866
Department Of Education,2/18/2025,11314749
Department Of Education,2/18/2025,15288255
Department Of Education,2/18/2025,5749999
Department Of Education,2/18/2025,5750000
Department of Health and Human Services,2/20/2025,1000000
Environmental Protection Agency,2/22/2025,8000000
Environmental Protection Agency,2/22/2025,8000000
Environmental Protection Agency,2/22/2025,5000000
Environmental Protection Agency,2/22/2025,500000
Environmental Protection Agency,2/22/2025,500000
Environmental Protection Agency,2/22/2025,8000000
Environmental Protection Agency,2/22/2025,5000000
Environmental Protection Agency,2/22/2025,5000000
Environmental Protection Agency,2/22/2025,500000
Environmental Protection Agency,2/22/2025,8000000
Environmental Protection Agency,2/22/2025,4000000
Environmental Protection Agency,2/22/2025,500000
Environmental Protection Agency,2/22/2025,500000
Environmental Protection Agency,2/22/2025,500000
Environmental Protection Agency,2/22/2025,8000000
Environmental Protection Agency,2/22/2025,500000
Environmental Protection Agency,2/22/2025,5100000
Environmental Protection Agency,2/22/2025,500000
Environmental Protection Agency,2/22/2025,500000
Environmental Protection Agency,2/22/2025,500000
Department of State,2/26/2025,22300
Department of State,2/26/2025,250000000
Department of State,2/26/2025,96325832
Department of State,2/26/2025,63042000
Department of State,2/26/2025,59250000
Department of State,2/26/2025,53660000
Department of State,2/26/2025,50850000
Department of State,2/26/2025,50677151
Department of State,2/26/2025,45000000
Department of State,2/26/2025,43657781
Department of State,2/26/2025,38213325
Department of State,2/26/2025,35000000
Department of State,2/26/2025,31510591
Department of State,2/26/2025,30905027
Department of State,2/26/2025,30147074
Department of State,2/26/2025,30000000
Department of State,2/26/2025,28410490
Department of State,2/26/2025,28064399
Department of State,2/26/2025,27729878
Department of State,2/26/2025,25298782
Department of State,2/26/2025,22469135
Department of State,2/26/2025,22000000
Department of State,2/26/2025,22000000
Department of State,2/26/2025,21873120
Department of State,2/26/2025,21728395
Department of State,2/26/2025,20897571
Department of State,2/26/2025,20450000
Department of State,2/26/2025,20250000
Department of State,2/26/2025,20176805
Department of State,2/26/2025,19636020
Department of State,2/26/2025,19119665
Department of State,2/26/2025,19000000
Department of State,2/26/2025,18930511
Department of State,2/26/2025,18518518
Department of State,2/26/2025,18390884
Department of State,2/26/2025,18271605
Department of State,2/26/2025,4885890
Department of State,2/26/2025,18230357
Department of State,2/26/2025,17981265
Department of State,2/26/2025,17915753
Department of State,2/26/2025,17500000
Department of State,2/26/2025,17325101
Department of State,2/26/2025,16218984
